TWEET;FLAG
ESSA DEMORA PRA DIVULGAR O #GABARITO DEVE SER PORQUE O #INEP TA ATÉ AGORA TENTANDO RESOLVER AS QUESTÕES Cara inexpressiva #Enem;NEGATIVO
Se nem o #INEP sabe as respostas, imagina nós, podres estudantes KKKKKKKKKKK #gabarito #Enem;NEGATIVO
Eu depois da prova de exatas planejando qual arte vou fazer pra vender na praia #aprendicomoenem #Enem #Enem2019;POSITIVO
Fiscal do #enem vendo eu entregar o rascunho sem nada escrito #aprendicomoenem #AprendiNoEnem;POSITIVO
#Enem hj foi 50% chute 50% bicuda;POSITIVO
ESSA DEMORA PRA DIVULGAR O #GABARITO DEVE SER PORQUE O #INEP TA ATÉ AGORA TENTANDO RESOLVER AS QUESTÕES #Enem;NEGATIVO
Ano que vem tem de novo gurizada #Enem;POSITIVO
ciências da natureza e matemática: a eu: tô aqui só pra comer #Enem;POSITIVO
Uma frase motivacional para o dia de hj : Só faz gol quem chuta! Bom Enem para todos #Enem2019 #Enem;POSITIVO
Galera reclamando do gráfico do pastel VOCÊS POR ACASO LERAM NATUREZAS? a do pastel tava de graça perto do capeta do avião #enem;NEGATIVO
foi mal manu gavassi mas não da pra entrar na faculdade com esse #enem não viu;NEGATIVO
Só faz gol quem chuta #Enem;POSITIVO
ñ estou preparado para a humilhação do #enem de hoje;NEGATIVO
eu olhava pras questões de log e pensava: kkkkkkkkkjjjjj #Enem;POSITIVO
#Enem2019  não te define, mas vá lá e arrase, bonde do #Enem! Boa sorte Four leaf clover;POSITIVO
Mano Acabei de perder o Enem porque esqueci a identidade .-. #AtrasadosDoEnem2019 #Enem;NEGATIVO
Bora bora que hoje é D de Deus e C de Cristo kkkkkk #enem;POSITIVO
Matemática linda, ciências da natureza oq eu tenho a ver? #Enem;NEGATIVO
Oq adianta sextar sabendo q domingo é dia de #ENEM;NEGATIVO
Pessoas que saem da prova do Enem tontas de cansaço me add #Enem #enem2019;POSITIVO
"E o fiscal da sala que falou pra mim quando eu estava saindo: ""Valeu. Até a próxima."". Eu chega saí daquela sala triste. #ENEM";NEGATIVO
A questão de pés, jardas, metros e centímetros foi a regra de 3 mais difícil da minha vida #Enem;NEGATIVO
Vcs acham que é só estudar que passa no Enem né? não é muito fácil qnd a pessoa não tem estrutura pra estudar. O Enem é difícil sim, eu fiz a prova ontem e tem coisa que eu vi que nunca tinham me passado no Ensino Médio (público). Como que estuda uma coisa que nunca viu? ++ #Enem;NEGATIVO
Eu acho que a minha prova do ENEM deveria ser corrigida junto com a folha de contas pq eles estão perdendo avanços com as novas fórmulas que  eu criei #Enem #showdosatrasados2019;NEGATIVO
A ciência dos pastéis é muito avançada. Por isso Brasil precisa de mais pasteleiros do que médicos.  #enem;NEGATIVO
Devia ter ido de chuteira hoje #Enem;POSITIVO
#Enem #aprendicomoenem querido governo desculpa por ter falado tão mal da redação não precisava ter descontado na prova de exatas........;NEGATIVO
Depois desse Enem eu só queria ser o Casal que tinha 1000 reais por dia pra gastar em uma viagem pro exterior... #Enem;POSITIVO
Em exatas eu chutei mais q o Pelé em final de copa do mundo #enem;POSITIVO
Quero pedir desculpas pra arvore que foi derrubada pra fazer a minha folha de rscunho sendo que eu nem usei ela #Enem;NEGATIVO
Sentado sozinho pensando seriamente se vou submeter a minha pessoa a está humilhação que o estado faz com o cidadão de fazer uma prova com questões que a pessoa não tem como saber as respostas #Enem;NEGATIVO
#aprendicomoenem que mais bagunçada que minha vida, só a minhas tentativas de rascunho mesmo #Enem2019 #Enem;POSITIVO
Estava andando ainda pouco pelas ruas de Belém, vi várias embalagens para guardar os pertences jogados nas calçadas. Quem jogou no chão não vai passar na prova do ENEM!!! #enem #enem2019  #AprendiNoEnem;NEGATIVO
Aprendi com o Enem que se vc salgar o feijão e colocar batatas elas vão sugar o sal e salvar o seu feijão de ir pro lixo por conta de estar muito salgado;POSITIVO
Em Brasília para palestra do Divaldo Franco! Em oração para o sucesso de meus alunos no ENEM #paz #espiritualidade #enem;POSITIVO
Menina que derrubou água na minha folha de respostas, saiba que vc tem um lugar reservado no inferno #Enem;NEGATIVO
Depois do #Enem seria perfeito transar pra esquecer essas 5h30 de prova;POSITIVO
Gata, vc é mais difícil que ver a nota do #enem;NEGATIVO
Gente estamos entre os 20 mil cagados de urubu sem nota #Enem;NEGATIVO
Não consegui entrar no site, quem dirá na faculdade. #enem;NEGATIVO
Eu tinha ficado chateada com a minha nota do #enem mas aí eu descobri que todo mundo se fudeu e fiquei de boa.;POSITIVO
Já nem to torcendo mais pela nota boa, to torcendo pra conseguir entrar no site #enem;NEGATIVO
Hoje a gente cagou pro filme do Pedro, rindo alto, mandando áudio, tirando foto, fazendo massagem. #EsseÉOAno #Enem #ProjetoEstudantil;NEGATIVO
Como assim minha nota do enem ainda não saiu, OLHA AQUI INEP EU NÃO SOU TREINEIRA NÃO, QUERO MINHA NOTA AGORA #Enem;NEGATIVO
Graças a Deus minha documentação foi aprovada e começo a assistir aula amanhã. Contábeis. Red heartRed heart #Enem #Prouni #Fies;POSITIVO
82 reais a inscrição do enem ?? Mas a aprovação vem junto né ??? #enem2017 #enem;NEGATIVO
Esses políticos roubam tanto e nem pra investir em um servidor descente pra inscrição e resultado do Enem, todo ano é isso, Enem 2017  #Enem;NEGATIVO
"O que vai fazer? ""Engenharia"", ""Medicina"", ""Direito"".. E segue a tríade. A maioria pela remuneração, raramente pelo sonho. #ENEM";NEGATIVO
Não há nada tão ruim que não possa piorar #Enem;NEGATIVO
que ódio desse site do #enem, não to conseguindo acessar o numero de inscrição do ano passado, como vou fazer a inscrição do sisu?;NEGATIVO
