Ano;UF;Município;Escola;Rede;Taxa de participação;Participantes;Dados são representativos;Ciências Humanas;Ciências da Natureza;Linguagens e Códigos;Matemática;Redação;Media
2009;SP;São Paulo;ASCENDINO REIS PROFESSOR;Todas;38,56%;268;Não;501,8;499,5;522,2;505,7;596,9;525,22
2009;SP;São Paulo;AUGUSTO LARANJA COLEGIO UNIDADE I;Todas;32,00%;8;Não;695,5;719,6;643,1;716,5;639,3;682,8
2009;SP;São Paulo;BANDEIRANTES COLEGIO EFM;Todas;63,35%;363;Sim;695,5;720,1;674,3;749,7;719,8;711,88
2009;SP;São Paulo;BASILIDES DE GODOY PROF ETEC;Todas;71,79%;84;Sim;657,4;635,8;656,2;638,7;681,3;653,88
2009;SP;São Paulo;BATISTA BRASILEIRO;Todas;34,15%;14;Não;577,5;593,7;612,4;602,6;776,8;632,6
2009;SP;São Paulo;BATISTA DA PENHA;Todas;43,75%;7;Não;530,7;554,3;566,1;564,6;617,9;566,72
2009;SP;São Paulo;BEATISSIMA VIRGEM MARIA;Todas;46,15%;36;Não;620,6;594,7;595,8;612,5;661,4;617
2009;SP;São Paulo;BEKA COLEGIO UNIDADE III;Todas;31,58%;6;Não;569,8;553,3;543,7;521,7;600;557,7
2009;SP;São Paulo;BENJAMIN CONSTANT;Todas;32,61%;15;Não;631,9;640,5;618,3;640,2;700;646,18
2009;SP;São Paulo;BONI CONSILII INSTITUTO EDUCACAO;Todas;62,26%;33;Sim;591,8;581,2;586,1;613,7;635,9;601,74
2009;SP;São Paulo;BRASIL JOVEM;Todas;42,86%;15;Não;599,9;567,4;597,9;562,7;666,7;598,92
2009;SP;São Paulo;BRASILIA DE SAO PAULO;Todas;55,91%;52;Sim;602;623,3;598,1;623,8;663,5;622,14
2009;SP;São Paulo;BRIDA;Todas;30,00%;6;Não;539,8;559,5;561,3;532,5;675;573,62
2009;SP;São Paulo;CALHIM MANOEL ABUD;Todas;28,73%;52;Não;531,5;518,2;537;529,7;634,7;550,22
2009;SP;São Paulo;CALIFORNIA JUNIOR;Todas;20,00%;3;Não;561,7;562,3;517,3;549,7;550;548,2
2009;SP;São Paulo;CAMARGO ARANHA PROF ETEC;Todas;75,61%;186;Sim;615,1;608;630,7;598,9;650,4;620,62
2009;SP;São Paulo;CAMILO CASTELO BRANCO LICEU;Todas;42,86%;27;Não;496,2;513,1;503,4;503,1;590;521,16
2009;SP;São Paulo;CAMPOS SALLES COLEGIO UNIDADE I;Todas;39,39%;39;Não;577;574,8;585,5;561,1;646,2;588,92
2009;SP;São Paulo;CAMPOS SALLES COLEGIO UNIDADE II;Todas;42,59%;23;Não;548,4;556,5;538,7;559,2;629,4;566,44
2009;SP;São Paulo;CANELLO MARQUES;Todas;28,07%;16;Não;525;533,6;522;521;667,9;553,9
2009;SP;São Paulo;CARAN APPARECIDO GONCALVES PROFESSOR;Todas;48,17%;79;Não;511,8;486,3;511,9;474,8;607,6;518,48
2009;SP;São Paulo;CARLOS BRUNETTI;Todas;43,48%;10;Não;625,3;635,1;639,3;662,9;680,6;648,64
2009;SP;São Paulo;CARLOS DRUMMOND DE ANDRADE;Todas;77,78%;28;Sim;614,3;593,5;600;603,5;699,1;622,08
2009;SP;São Paulo;CASAGRANDE;Todas;57,58%;19;Sim;617,9;631,5;616,6;629,9;682,9;635,76
2009;SP;São Paulo;CASINHA DO SABER E EXTERNATO ELVIRA RAMOS;Todas;44,44%;12;Não;557,1;585,2;566,8;607,9;666,7;596,74
2009;SP;São Paulo;CAVLAC;Todas;28,57%;6;Não;544;512,2;509,5;479,3;650;539
2009;SP;São Paulo;CENTENARIO;Todas;26,67%;4;Não;509,3;499;527,3;482;631,3;529,78
2009;SP;São Paulo;CENTRO INTERESCOLAR OBJETIVO UNIDADE TATUAPE;Todas;69,35%;43;Sim;631,7;631,2;622,8;626,8;626,8;627,86
2009;SP;São Paulo;CERIMAR;Todas;33,33%;5;Não;475,2;518,6;484,2;451,2;480;481,84
2009;SP;São Paulo;CERTUS;Todas;17,86%;10;Não;544,4;542,2;533,8;519,8;697,2;567,48
2009;SP;São Paulo;CIVITATIS;Todas;41,82%;23;Não;619,3;640,7;602,5;615,9;583,7;612,42
